,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,0
112,56.0,self-employed,married,primary,no,-34.0,yes,yes,unknown,5.0,may,212.0,2.0,-1.0,0.0,unknown,0.0
113,36.0,blue-collar,married,primary,no,448.0,yes,no,unknown,5.0,may,286.0,1.0,-1.0,0.0,unknown,0.0
114,59.0,retired,divorced,primary,no,81.0,yes,no,unknown,5.0,may,107.0,1.0,-1.0,0.0,unknown,0.0
115,,,,,,,,,,,,,,,,,0.0
116,41.0,admin.,married,secondary,no,351.0,yes,no,unknown,5.0,may,518.0,1.0,-1.0,0.0,unknown,0.0
117,33.0,management,single,tertiary,no,-67.0,yes,no,unknown,5.0,may,364.0,1.0,-1.0,0.0,unknown,0.0
118,59.0,management,divorced,tertiary,no,262.0,no,no,unknown,5.0,may,178.0,1.0,-1.0,0.0,unknown,0.0
119,57.0,technician,married,primary,no,0.0,no,no,unknown,5.0,may,98.0,1.0,-1.0,0.0,unknown,0.0
120,,,,,,,,,,,,,,,,,0.0
121,51.0,blue-collar,married,secondary,no,26.0,yes,no,unknown,5.0,may,79.0,1.0,-1.0,0.0,unknown,0.0
122,34.0,admin.,married,unknown,no,3.0,yes,no,unknown,5.0,may,120.0,3.0,-1.0,0.0,unknown,0.0
123,43.0,services,married,secondary,no,41.0,yes,yes,unknown,5.0,may,127.0,2.0,-1.0,0.0,unknown,0.0
124,52.0,technician,married,tertiary,no,7.0,no,yes,unknown,5.0,may,175.0,1.0,-1.0,0.0,unknown,0.0
125,33.0,technician,single,secondary,no,105.0,yes,no,unknown,5.0,may,262.0,2.0,-1.0,0.0,unknown,0.0
126,29.0,admin.,single,secondary,no,818.0,yes,yes,unknown,5.0,may,61.0,1.0,-1.0,0.0,unknown,1.0
127,34.0,services,married,secondary,no,-16.0,yes,yes,unknown,5.0,may,78.0,1.0,-1.0,0.0,unknown,0.0
128,,,,,,,,,,,,,,,,,0.0
129,,,,,,,,,,,,,,,,,0.0
130,,,,,,,,,,,,,,,,,0.0
131,32.0,admin.,single,secondary,no,217.0,yes,no,unknown,5.0,may,345.0,1.0,-1.0,0.0,unknown,0.0
132,38.0,technician,single,secondary,no,1685.0,yes,no,unknown,5.0,may,185.0,1.0,-1.0,0.0,unknown,0.0
133,55.0,admin.,single,secondary,no,802.0,yes,yes,unknown,5.0,may,100.0,2.0,-1.0,0.0,unknown,0.0
134,28.0,unemployed,single,tertiary,no,0.0,yes,no,unknown,5.0,may,125.0,2.0,-1.0,0.0,unknown,0.0
135,,,,,,,,,,,,,,,,,1.0
136,,,,,,,,,,,,,,,,,0.0
137,43.0,services,single,unknown,no,0.0,no,no,unknown,5.0,may,73.0,1.0,-1.0,0.0,unknown,0.0
138,32.0,blue-collar,married,secondary,no,517.0,yes,no,unknown,5.0,may,528.0,1.0,-1.0,0.0,unknown,1.0
139,46.0,blue-collar,married,secondary,no,265.0,yes,no,unknown,5.0,may,541.0,1.0,-1.0,0.0,unknown,0.0
140,,,,,,,,,,,,,,,,,0.0
141,34.0,self-employed,single,secondary,no,3.0,yes,no,unknown,5.0,may,301.0,1.0,-1.0,0.0,unknown,0.0
142,,,,,,,,,,,,,,,,,0.0
143,37.0,blue-collar,married,secondary,no,37.0,yes,no,unknown,5.0,may,204.0,1.0,-1.0,0.0,unknown,0.0
144,59.0,blue-collar,married,secondary,no,57.0,yes,no,unknown,5.0,may,98.0,1.0,-1.0,0.0,unknown,0.0
145,,,,,,,,,,,,,,,,,0.0
146,56.0,blue-collar,divorced,primary,no,8.0,yes,no,unknown,5.0,may,157.0,2.0,-1.0,0.0,unknown,0.0
147,,,,,,,,,,,,,,,,,0.0
148,43.0,services,married,primary,no,3.0,yes,no,unknown,5.0,may,186.0,2.0,-1.0,0.0,unknown,0.0
149,,,,,,,,,,,,,,,,,1.0
150,51.0,blue-collar,married,unknown,no,-19.0,yes,no,unknown,5.0,may,163.0,2.0,-1.0,0.0,unknown,0.0
151,26.0,student,single,secondary,no,0.0,yes,no,unknown,5.0,may,610.0,2.0,-1.0,0.0,unknown,0.0
152,,,,,,,,,,,,,,,,,0.0
153,,,,,,,,,,,,,,,,,1.0
154,50.0,technician,married,primary,no,139.0,no,no,unknown,5.0,may,114.0,2.0,-1.0,0.0,unknown,0.0
155,,,,,,,,,,,,,,,,,0.0
156,51.0,blue-collar,married,unknown,no,1883.0,yes,no,unknown,5.0,may,57.0,1.0,-1.0,0.0,unknown,0.0
157,,,,,,,,,,,,,,,,,0.0
158,52.0,blue-collar,married,secondary,no,782.0,yes,no,unknown,5.0,may,93.0,3.0,-1.0,0.0,unknown,0.0
159,,,,,,,,,,,,,,,,,1.0
160,48.0,services,married,unknown,no,1705.0,yes,no,unknown,5.0,may,107.0,1.0,-1.0,0.0,unknown,0.0
161,,,,,,,,,,,,,,,,,0.0
162,,,,,,,,,,,,,,,,,0.0
163,,,,,,,,,,,,,,,,,0.0
164,45.0,technician,married,secondary,no,86.0,yes,no,unknown,5.0,may,270.0,1.0,-1.0,0.0,unknown,0.0
165,,,,,,,,,,,,,,,,,0.0
166,,,,,,,,,,,,,,,,,0.0
167,,,,,,,,,,,,,,,,,0.0
168,54.0,admin.,married,tertiary,no,184.0,no,no,unknown,5.0,may,673.0,2.0,-1.0,0.0,unknown,0.0
169,50.0,blue-collar,married,primary,no,0.0,no,no,unknown,5.0,may,233.0,3.0,-1.0,0.0,unknown,0.0
170,35.0,blue-collar,married,secondary,no,0.0,yes,no,unknown,5.0,may,1056.0,1.0,-1.0,0.0,unknown,1.0
171,44.0,services,married,secondary,no,1357.0,yes,yes,unknown,5.0,may,250.0,1.0,-1.0,0.0,unknown,0.0
172,53.0,entrepreneur,married,unknown,no,19.0,yes,no,unknown,5.0,may,252.0,1.0,-1.0,0.0,unknown,0.0
173,35.0,retired,single,primary,no,434.0,no,no,unknown,5.0,may,138.0,1.0,-1.0,0.0,unknown,0.0
174,60.0,admin.,divorced,secondary,no,92.0,yes,no,unknown,5.0,may,130.0,1.0,-1.0,0.0,unknown,0.0
175,53.0,admin.,divorced,secondary,no,1151.0,yes,no,unknown,5.0,may,412.0,1.0,-1.0,0.0,unknown,0.0
176,,,,,,,,,,,,,,,,,0.0
177,34.0,technician,married,secondary,no,51.0,yes,no,unknown,5.0,may,19.0,2.0,-1.0,0.0,unknown,0.0
178,54.0,services,married,secondary,no,214.0,yes,no,unknown,5.0,may,458.0,2.0,-1.0,0.0,unknown,1.0
179,,,,,,,,,,,,,,,,,0.0
180,31.0,services,married,tertiary,no,37.0,yes,no,unknown,5.0,may,313.0,1.0,-1.0,0.0,unknown,0.0
181,35.0,technician,divorced,secondary,no,787.0,yes,no,unknown,5.0,may,683.0,2.0,-1.0,0.0,unknown,0.0
182,35.0,services,married,secondary,no,59.0,yes,no,unknown,5.0,may,1077.0,1.0,-1.0,0.0,unknown,0.0
183,,,,,,,,,,,,,,,,,0.0
184,,,,,,,,,,,,,,,,,0.0
185,58.0,retired,married,primary,no,235.0,yes,no,unknown,5.0,may,167.0,1.0,-1.0,0.0,unknown,0.0
186,40.0,services,divorced,unknown,no,4384.0,yes,no,unknown,5.0,may,315.0,1.0,-1.0,0.0,unknown,0.0
187,54.0,management,married,secondary,no,4080.0,no,no,unknown,5.0,may,140.0,1.0,-1.0,0.0,unknown,1.0
188,,,,,,,,,,,,,,,,,0.0
189,31.0,management,single,tertiary,no,0.0,yes,no,unknown,5.0,may,562.0,1.0,-1.0,0.0,unknown,0.0
190,51.0,retired,married,secondary,no,2127.0,yes,no,unknown,5.0,may,172.0,1.0,-1.0,0.0,unknown,0.0
191,33.0,management,married,tertiary,no,377.0,yes,no,unknown,5.0,may,217.0,1.0,-1.0,0.0,unknown,0.0
192,55.0,management,married,tertiary,no,73.0,yes,no,unknown,5.0,may,142.0,2.0,-1.0,0.0,unknown,0.0
193,42.0,admin.,married,secondary,no,445.0,yes,no,unknown,5.0,may,67.0,1.0,-1.0,0.0,unknown,1.0
194,,,,,,,,,,,,,,,,,0.0
195,,,,,,,,,,,,,,,,,0.0
196,,,,,,,,,,,,,,,,,0.0
197,,,,,,,,,,,,,,,,,0.0
198,,,,,,,,,,,,,,,,,0.0
199,61.0,blue-collar,divorced,primary,no,1428.0,yes,no,unknown,5.0,may,82.0,2.0,-1.0,0.0,unknown,0.0
200,,,,,,,,,,,,,,,,,0.0
201,48.0,self-employed,married,tertiary,no,7.0,yes,no,unknown,5.0,may,286.0,1.0,-1.0,0.0,unknown,0.0
202,,,,,,,,,,,,,,,,,0.0
203,35.0,student,single,unknown,no,298.0,yes,no,unknown,5.0,may,611.0,2.0,-1.0,0.0,unknown,0.0
204,35.0,services,married,secondary,no,0.0,yes,no,unknown,5.0,may,471.0,1.0,-1.0,0.0,unknown,0.0
205,50.0,services,married,secondary,no,5699.0,yes,no,unknown,5.0,may,381.0,2.0,-1.0,0.0,unknown,0.0
206,41.0,management,married,tertiary,no,176.0,yes,yes,unknown,5.0,may,42.0,1.0,-1.0,0.0,unknown,0.0
207,41.0,management,married,tertiary,no,517.0,yes,no,unknown,5.0,may,251.0,1.0,-1.0,0.0,unknown,0.0
208,,,,,,,,,,,,,,,,,0.0
209,42.0,retired,married,secondary,no,56.0,yes,no,unknown,5.0,may,215.0,1.0,-1.0,0.0,unknown,0.0
210,38.0,blue-collar,married,secondary,no,-390.0,yes,no,unknown,5.0,may,287.0,1.0,-1.0,0.0,unknown,0.0
211,,,,,,,,,,,,,,,,,0.0
212,,,,,,,,,,,,,,,,,0.0
213,36.0,services,married,secondary,no,301.0,yes,no,unknown,5.0,may,210.0,1.0,-1.0,0.0,unknown,0.0
214,,,,,,,,,,,,,,,,,0.0
215,40.0,technician,married,tertiary,no,483.0,yes,no,unknown,5.0,may,168.0,1.0,-1.0,0.0,unknown,0.0
216,,,,,,,,,,,,,,,,,1.0
217,53.0,unemployed,married,unknown,no,13.0,no,no,unknown,5.0,may,410.0,3.0,-1.0,0.0,unknown,0.0
218,46.0,housemaid,married,primary,no,965.0,no,no,unknown,5.0,may,177.0,1.0,-1.0,0.0,unknown,0.0
219,39.0,management,married,tertiary,no,378.0,yes,yes,unknown,5.0,may,127.0,2.0,-1.0,0.0,unknown,0.0
220,,,,,,,,,,,,,,,,,1.0
221,28.0,blue-collar,married,primary,no,324.0,yes,no,unknown,5.0,may,175.0,1.0,-1.0,0.0,unknown,1.0
222,35.0,entrepreneur,divorced,secondary,no,-69.0,yes,no,unknown,5.0,may,300.0,1.0,-1.0,0.0,unknown,0.0
223,55.0,retired,married,secondary,no,0.0,no,yes,unknown,5.0,may,136.0,1.0,-1.0,0.0,unknown,0.0
224,43.0,technician,divorced,unknown,no,205.0,yes,no,unknown,5.0,may,1419.0,1.0,-1.0,0.0,unknown,0.0
225,,,,,,,,,,,,,,,,,0.0
226,58.0,management,married,unknown,no,1065.0,yes,no,unknown,5.0,may,213.0,3.0,-1.0,0.0,unknown,0.0
227,33.0,management,single,tertiary,no,34.0,yes,no,unknown,5.0,may,27.0,1.0,-1.0,0.0,unknown,1.0
228,36.0,blue-collar,married,unknown,no,1033.0,no,no,unknown,5.0,may,238.0,2.0,-1.0,0.0,unknown,0.0
229,53.0,services,divorced,secondary,no,1467.0,yes,no,unknown,5.0,may,124.0,1.0,-1.0,0.0,unknown,0.0
230,47.0,blue-collar,married,primary,no,-12.0,yes,no,unknown,5.0,may,18.0,1.0,-1.0,0.0,unknown,0.0
231,,,,,,,,,,,,,,,,,0.0
232,57.0,entrepreneur,married,secondary,no,294.0,yes,no,unknown,5.0,may,746.0,2.0,-1.0,0.0,unknown,0.0
233,,,,,,,,,,,,,,,,,0.0
234,,,,,,,,,,,,,,,,,0.0
235,45.0,blue-collar,married,primary,no,25.0,yes,no,unknown,5.0,may,40.0,1.0,-1.0,0.0,unknown,0.0
236,53.0,admin.,divorced,secondary,no,315.0,yes,no,unknown,5.0,may,181.0,2.0,-1.0,0.0,unknown,0.0
237,,,,,,,,,,,,,,,,,0.0
238,,,,,,,,,,,,,,,,,0.0
239,,,,,,,,,,,,,,,,,0.0
240,,,,,,,,,,,,,,,,,1.0
241,,,,,,,,,,,,,,,,,1.0
242,38.0,admin.,married,secondary,no,0.0,no,no,unknown,5.0,may,151.0,1.0,-1.0,0.0,unknown,0.0
243,,,,,,,,,,,,,,,,,0.0
244,49.0,management,married,tertiary,no,3237.0,yes,no,unknown,5.0,may,232.0,3.0,-1.0,0.0,unknown,0.0
245,,,,,,,,,,,,,,,,,1.0
246,22.0,blue-collar,single,secondary,no,0.0,yes,no,unknown,5.0,may,179.0,2.0,-1.0,0.0,unknown,0.0
247,40.0,management,married,tertiary,no,207.0,yes,no,unknown,5.0,may,39.0,1.0,-1.0,0.0,unknown,0.0
248,39.0,blue-collar,married,secondary,no,483.0,yes,no,unknown,5.0,may,282.0,1.0,-1.0,0.0,unknown,0.0
249,,,,,,,,,,,,,,,,,0.0
250,49.0,admin.,married,secondary,no,428.0,yes,no,unknown,5.0,may,50.0,1.0,-1.0,0.0,unknown,0.0
251,,,,,,,,,,,,,,,,,0.0
252,34.0,services,single,secondary,no,0.0,yes,no,unknown,5.0,may,142.0,1.0,-1.0,0.0,unknown,0.0
253,33.0,technician,divorced,secondary,no,140.0,yes,no,unknown,5.0,may,227.0,1.0,-1.0,0.0,unknown,0.0
254,,,,,,,,,,,,,,,,,0.0
255,39.0,blue-collar,married,primary,no,279.0,yes,no,unknown,5.0,may,361.0,1.0,-1.0,0.0,unknown,0.0
256,59.0,entrepreneur,divorced,secondary,no,901.0,yes,no,unknown,5.0,may,73.0,3.0,-1.0,0.0,unknown,0.0
257,30.0,technician,single,secondary,no,2573.0,yes,no,unknown,5.0,may,67.0,2.0,-1.0,0.0,unknown,1.0
258,,,,,,,,,,,,,,,,,0.0
259,40.0,blue-collar,married,secondary,no,475.0,yes,no,unknown,5.0,may,332.0,2.0,-1.0,0.0,unknown,0.0
260,,,,,,,,,,,,,,,,,0.0
261,,,,,,,,,,,,,,,,,1.0
262,37.0,technician,married,secondary,no,275.0,yes,no,unknown,5.0,may,132.0,1.0,-1.0,0.0,unknown,0.0
263,,,,,,,,,,,,,,,,,0.0
264,41.0,entrepreneur,married,primary,no,236.0,yes,no,unknown,5.0,may,151.0,1.0,-1.0,0.0,unknown,0.0
265,,,,,,,,,,,,,,,,,0.0
266,37.0,management,single,tertiary,no,600.0,yes,no,unknown,5.0,may,152.0,1.0,-1.0,0.0,unknown,0.0
267,39.0,admin.,divorced,secondary,no,-349.0,yes,no,unknown,5.0,may,611.0,2.0,-1.0,0.0,unknown,1.0
268,41.0,blue-collar,married,primary,no,183.0,yes,yes,unknown,5.0,may,110.0,2.0,-1.0,0.0,unknown,0.0
269,40.0,blue-collar,married,primary,no,0.0,yes,no,unknown,5.0,may,463.0,1.0,-1.0,0.0,unknown,0.0
270,,,,,,,,,,,,,,,,,0.0
271,40.0,blue-collar,divorced,primary,no,0.0,yes,no,unknown,5.0,may,962.0,1.0,-1.0,0.0,unknown,0.0
272,57.0,technician,married,secondary,no,1078.0,yes,no,unknown,5.0,may,10.0,4.0,-1.0,0.0,unknown,0.0
273,56.0,entrepreneur,divorced,secondary,no,155.0,no,no,unknown,5.0,may,118.0,3.0,-1.0,0.0,unknown,0.0
274,37.0,admin.,married,secondary,no,190.0,yes,no,unknown,5.0,may,92.0,2.0,-1.0,0.0,unknown,0.0
275,59.0,retired,married,secondary,no,319.0,yes,no,unknown,5.0,may,143.0,3.0,-1.0,0.0,unknown,0.0
276,,,,,,,,,,,,,,,,,0.0
277,,,,,,,,,,,,,,,,,0.0
278,38.0,services,single,secondary,no,570.0,yes,no,unknown,5.0,may,75.0,2.0,-1.0,0.0,unknown,0.0
279,36.0,self-employed,married,tertiary,no,19.0,no,no,unknown,5.0,may,189.0,2.0,-1.0,0.0,unknown,0.0
280,50.0,blue-collar,married,primary,no,61.0,yes,no,unknown,5.0,may,621.0,3.0,-1.0,0.0,unknown,0.0
281,,,,,,,,,,,,,,,,,0.0
282,,,,,,,,,,,,,,,,,0.0
283,58.0,blue-collar,married,primary,no,76.0,yes,no,unknown,5.0,may,156.0,2.0,-1.0,0.0,unknown,0.0
284,30.0,blue-collar,single,secondary,no,0.0,yes,no,unknown,5.0,may,5.0,2.0,-1.0,0.0,unknown,0.0
285,33.0,admin.,single,secondary,no,352.0,yes,no,unknown,5.0,may,225.0,2.0,-1.0,0.0,unknown,0.0
286,47.0,admin.,married,secondary,no,368.0,yes,no,unknown,5.0,may,125.0,2.0,-1.0,0.0,unknown,0.0
287,,,,,,,,,,,,,,,,,0.0
288,,,,,,,,,,,,,,,,,0.0
289,40.0,self-employed,married,secondary,no,672.0,yes,no,unknown,5.0,may,164.0,2.0,-1.0,0.0,unknown,0.0
290,37.0,management,married,tertiary,no,58.0,yes,no,unknown,5.0,may,98.0,2.0,-1.0,0.0,unknown,0.0
291,54.0,technician,single,unknown,no,447.0,yes,no,unknown,5.0,may,742.0,2.0,-1.0,0.0,unknown,1.0
292,24.0,student,single,secondary,no,423.0,yes,no,unknown,5.0,may,226.0,3.0,-1.0,0.0,unknown,0.0
293,,,,,,,,,,,,,,,,,0.0
294,34.0,technician,married,secondary,no,19.0,yes,no,unknown,5.0,may,362.0,4.0,-1.0,0.0,unknown,0.0
295,56.0,technician,divorced,primary,no,13.0,yes,no,unknown,5.0,may,357.0,2.0,-1.0,0.0,unknown,0.0
296,31.0,blue-collar,single,secondary,no,3.0,yes,no,unknown,5.0,may,200.0,2.0,-1.0,0.0,unknown,0.0
297,24.0,student,single,secondary,no,82.0,yes,no,unknown,5.0,may,204.0,2.0,-1.0,0.0,unknown,0.0
298,42.0,blue-collar,divorced,primary,no,28.0,yes,no,unknown,5.0,may,126.0,3.0,-1.0,0.0,unknown,1.0
