,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,Class
43464,36.0,management,single,tertiary,no,436.0,no,no,cellular,13.0,apr,567.0,1.0,595.0,2.0,failure,2
41367,22.0,services,single,secondary,no,652.0,no,no,telephone,31.0,aug,139.0,1.0,-1.0,0.0,unknown,1
37809,53.0,management,married,tertiary,no,261.0,yes,no,telephone,14.0,may,154.0,2.0,336.0,2.0,failure,1
20336,52.0,admin.,married,secondary,no,7742.0,no,no,cellular,11.0,aug,149.0,3.0,-1.0,0.0,unknown,1
38738,26.0,services,married,secondary,no,0.0,yes,no,cellular,18.0,may,130.0,4.0,-1.0,0.0,unknown,1
12518,41.0,entrepreneur,married,tertiary,no,-81.0,no,yes,unknown,2.0,jul,83.0,3.0,-1.0,0.0,unknown,1
26505,33.0,blue-collar,married,primary,no,261.0,yes,no,cellular,20.0,nov,252.0,1.0,-1.0,0.0,unknown,1
39589,58.0,retired,married,primary,no,928.0,no,no,cellular,26.0,may,304.0,1.0,-1.0,0.0,unknown,1
36178,48.0,services,divorced,secondary,no,457.0,yes,no,cellular,11.0,may,199.0,1.0,326.0,5.0,other,1
30264,71.0,retired,married,tertiary,no,2651.0,no,no,cellular,5.0,feb,531.0,2.0,-1.0,0.0,unknown,1
7046,43.0,blue-collar,married,primary,no,50.0,no,no,unknown,28.0,may,90.0,8.0,-1.0,0.0,unknown,1
18170,56.0,services,married,secondary,no,5486.0,yes,no,cellular,30.0,jul,251.0,3.0,-1.0,0.0,unknown,1
12927,58.0,technician,divorced,secondary,no,-354.0,yes,yes,cellular,7.0,jul,98.0,1.0,-1.0,0.0,unknown,1
16935,30.0,admin.,married,secondary,no,60.0,no,yes,cellular,25.0,jul,61.0,2.0,-1.0,0.0,unknown,1
43057,50.0,admin.,married,secondary,no,5361.0,no,no,cellular,18.0,feb,276.0,3.0,195.0,1.0,failure,1
12269,42.0,housemaid,married,secondary,no,341.0,no,no,unknown,24.0,jun,790.0,3.0,-1.0,0.0,unknown,1
20484,51.0,management,married,tertiary,no,8304.0,no,no,cellular,12.0,aug,105.0,2.0,-1.0,0.0,unknown,1
32412,20.0,student,single,unknown,no,4137.0,yes,no,telephone,16.0,apr,55.0,2.0,-1.0,0.0,unknown,1
27427,47.0,admin.,married,unknown,no,0.0,yes,no,cellular,21.0,nov,85.0,1.0,198.0,1.0,failure,1
39308,24.0,services,married,secondary,no,183.0,yes,no,cellular,18.0,may,453.0,4.0,-1.0,0.0,unknown,1
40486,63.0,retired,married,secondary,no,18016.0,no,no,cellular,7.0,jul,371.0,1.0,-1.0,0.0,unknown,2
18578,56.0,retired,married,secondary,no,728.0,no,no,cellular,31.0,jul,107.0,15.0,-1.0,0.0,unknown,1
3934,49.0,unemployed,divorced,secondary,no,495.0,yes,no,unknown,16.0,may,40.0,5.0,-1.0,0.0,unknown,1
1862,32.0,technician,married,secondary,no,1118.0,yes,yes,unknown,9.0,may,128.0,2.0,-1.0,0.0,unknown,1
20834,30.0,technician,single,tertiary,no,0.0,yes,no,cellular,13.0,aug,150.0,4.0,-1.0,0.0,unknown,1
10897,44.0,management,divorced,tertiary,no,1467.0,no,no,unknown,17.0,jun,49.0,1.0,-1.0,0.0,unknown,1
8636,58.0,technician,married,unknown,no,-205.0,yes,no,unknown,3.0,jun,497.0,2.0,-1.0,0.0,unknown,1
22077,52.0,blue-collar,married,primary,no,990.0,no,no,cellular,21.0,aug,96.0,2.0,-1.0,0.0,unknown,1
19264,35.0,technician,married,tertiary,no,118.0,no,no,cellular,6.0,aug,358.0,2.0,-1.0,0.0,unknown,1
36536,34.0,entrepreneur,married,primary,no,7279.0,yes,no,cellular,12.0,may,882.0,1.0,-1.0,0.0,unknown,2
38900,29.0,technician,single,secondary,no,534.0,yes,no,cellular,18.0,may,382.0,1.0,-1.0,0.0,unknown,1
22431,36.0,management,single,tertiary,no,1520.0,no,no,cellular,22.0,aug,101.0,2.0,-1.0,0.0,unknown,1
24152,43.0,admin.,married,secondary,no,2271.0,no,no,telephone,10.0,nov,524.0,1.0,-1.0,0.0,unknown,2
25724,53.0,management,married,tertiary,no,8093.0,no,no,cellular,19.0,nov,93.0,1.0,-1.0,0.0,unknown,1
44242,47.0,self-employed,married,secondary,no,523.0,no,no,unknown,20.0,jul,7.0,1.0,-1.0,0.0,unknown,1
40765,52.0,housemaid,married,primary,no,618.0,yes,yes,cellular,10.0,aug,352.0,2.0,102.0,2.0,failure,1
4315,27.0,blue-collar,single,secondary,no,5.0,yes,no,unknown,19.0,may,205.0,3.0,-1.0,0.0,unknown,1
12950,49.0,management,married,tertiary,no,96.0,no,no,cellular,7.0,jul,51.0,2.0,-1.0,0.0,unknown,1
28212,49.0,blue-collar,married,primary,no,399.0,no,no,cellular,29.0,jan,679.0,1.0,-1.0,0.0,unknown,1
29020,42.0,blue-collar,married,primary,no,199.0,yes,no,cellular,2.0,feb,272.0,1.0,-1.0,0.0,unknown,1
8649,38.0,blue-collar,married,secondary,no,284.0,yes,yes,unknown,3.0,jun,1030.0,6.0,-1.0,0.0,unknown,1
37472,42.0,management,married,tertiary,no,1162.0,yes,no,cellular,13.0,may,406.0,5.0,364.0,1.0,other,1
1845,39.0,services,married,unknown,no,-516.0,yes,no,unknown,9.0,may,86.0,2.0,-1.0,0.0,unknown,1
36609,48.0,services,divorced,secondary,no,-361.0,yes,no,cellular,12.0,may,1062.0,3.0,349.0,3.0,other,2
10660,35.0,admin.,married,secondary,no,4698.0,yes,no,unknown,16.0,jun,359.0,1.0,-1.0,0.0,unknown,1
15593,34.0,admin.,married,secondary,no,-45.0,yes,no,cellular,21.0,jul,88.0,4.0,-1.0,0.0,unknown,1
40704,45.0,admin.,married,secondary,no,171.0,yes,yes,cellular,7.0,aug,292.0,1.0,-1.0,0.0,unknown,1
36792,57.0,admin.,single,secondary,no,3551.0,yes,no,cellular,12.0,may,458.0,1.0,-1.0,0.0,unknown,2
12724,47.0,admin.,single,secondary,no,3531.0,yes,no,cellular,7.0,jul,49.0,6.0,-1.0,0.0,unknown,1
12268,55.0,management,married,tertiary,no,5804.0,no,no,unknown,24.0,jun,56.0,3.0,-1.0,0.0,unknown,1
617,39.0,blue-collar,married,primary,no,2226.0,yes,no,unknown,6.0,may,158.0,1.0,-1.0,0.0,unknown,1
15562,49.0,retired,married,primary,no,375.0,no,yes,telephone,21.0,jul,110.0,7.0,-1.0,0.0,unknown,1
11068,37.0,technician,divorced,secondary,no,531.0,no,no,unknown,17.0,jun,150.0,7.0,-1.0,0.0,unknown,1
40854,32.0,management,single,tertiary,no,3283.0,no,no,cellular,12.0,aug,623.0,2.0,191.0,2.0,success,2
37626,31.0,blue-collar,single,tertiary,no,328.0,yes,no,cellular,14.0,may,414.0,1.0,175.0,1.0,failure,1
27324,30.0,self-employed,married,secondary,no,581.0,yes,no,cellular,21.0,nov,197.0,3.0,-1.0,0.0,unknown,1
9170,37.0,blue-collar,single,primary,no,0.0,yes,no,unknown,5.0,jun,309.0,2.0,-1.0,0.0,unknown,1
21960,47.0,technician,married,secondary,no,275.0,no,no,cellular,20.0,aug,447.0,4.0,-1.0,0.0,unknown,1
35400,58.0,blue-collar,married,unknown,no,807.0,yes,no,cellular,7.0,may,57.0,1.0,366.0,2.0,failure,1
29664,33.0,admin.,single,secondary,no,901.0,no,no,cellular,3.0,feb,18.0,5.0,6.0,3.0,other,1
16760,25.0,blue-collar,single,secondary,no,674.0,no,no,cellular,24.0,jul,736.0,2.0,-1.0,0.0,unknown,1
20686,32.0,technician,married,secondary,no,3095.0,no,no,cellular,12.0,aug,204.0,10.0,-1.0,0.0,unknown,1
27033,57.0,management,single,unknown,no,5368.0,yes,no,cellular,21.0,nov,585.0,1.0,-1.0,0.0,unknown,1
11920,37.0,housemaid,married,unknown,no,3075.0,no,no,unknown,20.0,jun,29.0,3.0,-1.0,0.0,unknown,1
29846,31.0,self-employed,married,tertiary,no,168.0,no,no,cellular,4.0,feb,193.0,2.0,-1.0,0.0,unknown,2
22507,59.0,housemaid,married,primary,no,57.0,no,no,cellular,22.0,aug,212.0,11.0,-1.0,0.0,unknown,1
28612,33.0,management,single,tertiary,no,-53.0,no,no,cellular,29.0,jan,617.0,2.0,-1.0,0.0,unknown,1
493,55.0,unemployed,married,tertiary,no,5345.0,no,no,unknown,6.0,may,278.0,1.0,-1.0,0.0,unknown,1
5801,31.0,blue-collar,married,secondary,no,-110.0,yes,no,unknown,26.0,may,440.0,1.0,-1.0,0.0,unknown,1
15867,41.0,blue-collar,married,secondary,yes,-750.0,yes,yes,cellular,21.0,jul,251.0,3.0,-1.0,0.0,unknown,1
41943,70.0,retired,married,secondary,no,2064.0,no,no,cellular,22.0,oct,334.0,1.0,-1.0,0.0,unknown,1
28322,32.0,admin.,single,secondary,no,-32.0,no,no,cellular,29.0,jan,320.0,1.0,185.0,5.0,other,1
24092,27.0,entrepreneur,married,secondary,no,2329.0,no,no,telephone,27.0,oct,131.0,1.0,-1.0,0.0,unknown,2
2643,35.0,technician,divorced,secondary,no,556.0,yes,no,unknown,13.0,may,214.0,1.0,-1.0,0.0,unknown,1
19502,31.0,management,single,tertiary,no,424.0,no,yes,cellular,7.0,aug,224.0,2.0,-1.0,0.0,unknown,1
13397,35.0,services,married,secondary,no,0.0,no,yes,telephone,9.0,jul,42.0,1.0,-1.0,0.0,unknown,1
11272,36.0,student,single,unknown,no,386.0,no,no,unknown,18.0,jun,359.0,2.0,-1.0,0.0,unknown,1
33412,34.0,management,divorced,tertiary,no,471.0,no,no,cellular,20.0,apr,247.0,1.0,332.0,4.0,failure,1
25943,56.0,self-employed,married,tertiary,yes,0.0,no,no,cellular,19.0,nov,122.0,1.0,-1.0,0.0,unknown,1
18337,37.0,blue-collar,married,primary,no,153.0,no,yes,cellular,31.0,jul,15.0,26.0,-1.0,0.0,unknown,1
3685,55.0,technician,married,secondary,no,726.0,yes,no,unknown,16.0,may,271.0,1.0,-1.0,0.0,unknown,1
42783,56.0,technician,married,tertiary,no,1181.0,no,no,cellular,28.0,jan,186.0,1.0,433.0,1.0,failure,2
35723,44.0,technician,married,secondary,no,533.0,yes,no,cellular,8.0,may,153.0,4.0,171.0,3.0,failure,1
29730,59.0,retired,married,tertiary,no,941.0,no,yes,cellular,4.0,feb,231.0,1.0,210.0,1.0,failure,1
28395,53.0,blue-collar,single,primary,no,354.0,yes,no,cellular,29.0,jan,133.0,1.0,226.0,2.0,failure,1
25590,48.0,management,married,secondary,no,3663.0,yes,no,cellular,19.0,nov,239.0,1.0,-1.0,0.0,unknown,1
24833,33.0,entrepreneur,married,tertiary,no,0.0,yes,yes,cellular,18.0,nov,114.0,1.0,-1.0,0.0,unknown,1
16470,28.0,student,single,secondary,no,153.0,no,no,cellular,23.0,jul,1124.0,2.0,-1.0,0.0,unknown,2
31629,44.0,blue-collar,married,secondary,no,8666.0,no,no,telephone,6.0,apr,172.0,1.0,-1.0,0.0,unknown,1
1972,35.0,blue-collar,married,secondary,no,73.0,no,no,unknown,9.0,may,134.0,3.0,-1.0,0.0,unknown,1
16490,25.0,services,married,secondary,no,72.0,yes,no,cellular,23.0,jul,305.0,2.0,-1.0,0.0,unknown,1
16449,56.0,retired,married,tertiary,no,5.0,no,no,cellular,23.0,jul,122.0,3.0,-1.0,0.0,unknown,1
18098,37.0,student,divorced,tertiary,no,0.0,no,no,telephone,30.0,jul,100.0,6.0,-1.0,0.0,unknown,1
33655,38.0,management,single,tertiary,no,7303.0,yes,no,cellular,20.0,apr,164.0,6.0,-1.0,0.0,unknown,1
15894,51.0,blue-collar,divorced,primary,no,0.0,yes,no,cellular,21.0,jul,322.0,2.0,-1.0,0.0,unknown,1
30201,35.0,management,divorced,tertiary,no,500.0,yes,no,cellular,5.0,feb,177.0,1.0,252.0,1.0,failure,1
23313,58.0,retired,married,secondary,no,413.0,no,no,cellular,27.0,aug,104.0,5.0,-1.0,0.0,unknown,1
14980,31.0,management,married,tertiary,yes,-1038.0,yes,no,cellular,16.0,jul,255.0,2.0,-1.0,0.0,unknown,1
44701,84.0,retired,divorced,primary,no,1680.0,no,no,telephone,6.0,sep,113.0,5.0,97.0,3.0,other,1
7708,53.0,management,married,tertiary,no,3911.0,yes,yes,unknown,30.0,may,63.0,2.0,-1.0,0.0,unknown,1
30653,29.0,unemployed,single,secondary,no,2424.0,no,no,cellular,6.0,feb,93.0,1.0,-1.0,0.0,unknown,1
763,30.0,self-employed,single,tertiary,no,800.0,no,no,unknown,6.0,may,95.0,2.0,-1.0,0.0,unknown,1
4898,31.0,admin.,single,secondary,no,626.0,yes,no,unknown,21.0,may,211.0,1.0,-1.0,0.0,unknown,1
28287,44.0,self-employed,married,secondary,no,-264.0,yes,no,cellular,29.0,jan,227.0,1.0,-1.0,0.0,unknown,1
10326,50.0,unemployed,married,secondary,no,5164.0,no,no,unknown,12.0,jun,117.0,5.0,-1.0,0.0,unknown,1
19529,34.0,technician,married,tertiary,no,4953.0,no,no,cellular,7.0,aug,235.0,2.0,-1.0,0.0,unknown,1
6643,30.0,technician,single,secondary,no,1692.0,yes,yes,unknown,28.0,may,141.0,2.0,-1.0,0.0,unknown,1
5265,31.0,blue-collar,married,secondary,no,714.0,yes,no,unknown,23.0,may,254.0,1.0,-1.0,0.0,unknown,1
37067,36.0,technician,single,secondary,no,2151.0,yes,no,cellular,13.0,may,134.0,1.0,370.0,1.0,failure,1
35645,31.0,self-employed,single,unknown,no,7118.0,yes,no,cellular,8.0,may,795.0,6.0,170.0,3.0,failure,1
24998,54.0,management,divorced,tertiary,no,2171.0,yes,yes,telephone,18.0,nov,1034.0,1.0,-1.0,0.0,unknown,2
42307,42.0,self-employed,married,tertiary,no,10072.0,no,no,cellular,16.0,nov,137.0,3.0,208.0,1.0,failure,1
30541,26.0,management,single,tertiary,no,690.0,no,no,cellular,5.0,feb,76.0,3.0,-1.0,0.0,unknown,1
38421,23.0,services,married,secondary,no,2211.0,yes,no,cellular,15.0,may,210.0,2.0,-1.0,0.0,unknown,1
44544,55.0,unknown,married,secondary,no,2206.0,no,no,cellular,12.0,aug,265.0,1.0,91.0,5.0,success,2
34361,24.0,student,single,secondary,no,387.0,no,no,telephone,4.0,may,340.0,8.0,-1.0,0.0,unknown,2
29120,26.0,student,single,tertiary,no,376.0,no,no,telephone,2.0,feb,237.0,2.0,-1.0,0.0,unknown,1
33445,34.0,technician,divorced,secondary,no,0.0,yes,yes,cellular,20.0,apr,110.0,3.0,269.0,2.0,other,1
23457,38.0,technician,married,secondary,no,-104.0,no,no,cellular,28.0,aug,13.0,17.0,-1.0,0.0,unknown,1
36023,43.0,entrepreneur,married,primary,no,1318.0,yes,yes,telephone,11.0,may,10.0,8.0,-1.0,0.0,unknown,1
